fold,held_patient,feature,importance,method,role,ligand,receptor,ligand_receptor_pair
1,P1,CCC_Sender_ICAM1_to_ITGAL,0.0004352032025693752,shap_tree,Sender,ICAM1,ITGAL,ICAM1 → ITGAL
1,P1,CCC_Receiver_ICAM1_to_ITGAL,0.009599373153273793,shap_tree,Receiver,ICAM1,ITGAL,ICAM1 → ITGAL
1,P1,CCC_Sender_CCL2_to_CCR2,0.0,shap_tree,Sender,CCL2,CCR2,CCL2 → CCR2
1,P1,CCC_Receiver_CCL2_to_CCR2,0.0,shap_tree,Receiver,CCL2,CCR2,CCL2 → CCR2
1,P1,CCC_Sender_CCL3_to_CCR1,0.00639876268419097,shap_tree,Sender,CCL3,CCR1,CCL3 → CCR1
1,P1,CCC_Receiver_CCL3_to_CCR1,0.00013078810578019885,shap_tree,Receiver,CCL3,CCR1,CCL3 → CCR1
1,P1,CCC_Sender_CCL3_to_CCR5,0.003305694281178938,shap_tree,Sender,CCL3,CCR5,CCL3 → CCR5
1,P1,CCC_Receiver_CCL3_to_CCR5,0.0011697442533851693,shap_tree,Receiver,CCL3,CCR5,CCL3 → CCR5
1,P1,CCC_Sender_CCL3L1_to_CCR1,4.893064797670327e-05,shap_tree,Sender,CCL3L1,CCR1,CCL3L1 → CCR1
1,P1,CCC_Receiver_CCL3L1_to_CCR1,0.0001123245513934909,shap_tree,Receiver,CCL3L1,CCR1,CCL3L1 → CCR1
1,P1,CCC_Sender_CCL4_to_CCR5,0.006281027292035852,shap_tree,Sender,CCL4,CCR5,CCL4 → CCR5
1,P1,CCC_Receiver_CCL4_to_CCR5,0.0019116534640164096,shap_tree,Receiver,CCL4,CCR5,CCL4 → CCR5
1,P1,CCC_Sender_CCL5_to_CCR1,0.05057279278567457,shap_tree,Sender,CCL5,CCR1,CCL5 → CCR1
1,P1,CCC_Receiver_CCL5_to_CCR1,5.950445142287767e-05,shap_tree,Receiver,CCL5,CCR1,CCL5 → CCR1
1,P1,CCC_Sender_CCL5_to_CCR4,0.010233878794326974,shap_tree,Sender,CCL5,CCR4,CCL5 → CCR4
1,P1,CCC_Receiver_CCL5_to_CCR4,0.0,shap_tree,Receiver,CCL5,CCR4,CCL5 → CCR4
1,P1,CCC_Sender_CCL5_to_CCR5,0.011057704335435866,shap_tree,Sender,CCL5,CCR5,CCL5 → CCR5
1,P1,CCC_Receiver_CCL5_to_CCR5,0.0004996140912985147,shap_tree,Receiver,CCL5,CCR5,CCL5 → CCR5
1,P1,CCC_Sender_CXCL13_to_CXCR5,0.0001194049733123737,shap_tree,Sender,CXCL13,CXCR5,CXCL13 → CXCR5
1,P1,CCC_Receiver_CXCL13_to_CXCR5,7.049921209979003e-05,shap_tree,Receiver,CXCL13,CXCR5,CXCL13 → CXCR5
1,P1,CCC_Sender_CXCL16_to_CXCR6,4.5441846746480455e-05,shap_tree,Sender,CXCL16,CXCR6,CXCL16 → CXCR6
1,P1,CCC_Receiver_CXCL16_to_CXCR6,0.0003212251631900841,shap_tree,Receiver,CXCL16,CXCR6,CXCL16 → CXCR6
1,P1,CCC_Sender_CXCL2_to_DPP4,0.0,shap_tree,Sender,CXCL2,DPP4,CXCL2 → DPP4
1,P1,CCC_Receiver_CXCL2_to_DPP4,0.0,shap_tree,Receiver,CXCL2,DPP4,CXCL2 → DPP4
1,P1,CCC_Sender_CSF1_to_CSF1R,0.00032274707117254753,shap_tree,Sender,CSF1,CSF1R,CSF1 → CSF1R
1,P1,CCC_Receiver_CSF1_to_CSF1R,0.0004739492097153365,shap_tree,Receiver,CSF1,CSF1R,CSF1 → CSF1R
1,P1,CCC_Sender_LGALS9_to_HAVCR2,0.005406412446312992,shap_tree,Sender,LGALS9,HAVCR2,LGALS9 → HAVCR2
1,P1,CCC_Receiver_LGALS9_to_HAVCR2,0.00404563327286602,shap_tree,Receiver,LGALS9,HAVCR2,LGALS9 → HAVCR2
1,P1,CCC_Sender_LGALS9_to_P4HB,0.0036703376575833832,shap_tree,Sender,LGALS9,P4HB,LGALS9 → P4HB
1,P1,CCC_Receiver_LGALS9_to_P4HB,0.006868500929180691,shap_tree,Receiver,LGALS9,P4HB,LGALS9 → P4HB
1,P1,CCC_Sender_HLA-B_to_KIR3DL2,0.014980378109295712,shap_tree,Sender,HLA-B,KIR3DL2,HLA-B → KIR3DL2
1,P1,CCC_Receiver_HLA-B_to_KIR3DL2,0.0,shap_tree,Receiver,HLA-B,KIR3DL2,HLA-B → KIR3DL2
1,P1,CCC_Sender_HLA-C_to_KIR2DL3,0.020961915678008005,shap_tree,Sender,HLA-C,KIR2DL3,HLA-C → KIR2DL3
1,P1,CCC_Receiver_HLA-C_to_KIR2DL3,0.0,shap_tree,Receiver,HLA-C,KIR2DL3,HLA-C → KIR2DL3
1,P1,CCC_Sender_HLA-E_to_KLRC1,0.012033161412762512,shap_tree,Sender,HLA-E,KLRC1,HLA-E → KLRC1
1,P1,CCC_Receiver_HLA-E_to_KLRC1,7.794707485537115e-06,shap_tree,Receiver,HLA-E,KLRC1,HLA-E → KLRC1
1,P1,CCC_Sender_HLA-E_to_KLRC2,0.043166269917060934,shap_tree,Sender,HLA-E,KLRC2,HLA-E → KLRC2
1,P1,CCC_Receiver_HLA-E_to_KLRC2,2.068268156720465e-06,shap_tree,Receiver,HLA-E,KLRC2,HLA-E → KLRC2
1,P1,CCC_Sender_HLA-E_to_KLRK1,0.010475354395105097,shap_tree,Sender,HLA-E,KLRK1,HLA-E → KLRK1
1,P1,CCC_Receiver_HLA-E_to_KLRK1,5.38262652343547e-05,shap_tree,Receiver,HLA-E,KLRK1,HLA-E → KLRK1
1,P1,CCC_Sender_HLA-F_to_KIR3DL2,0.004305758829844633,shap_tree,Sender,HLA-F,KIR3DL2,HLA-F → KIR3DL2
1,P1,CCC_Receiver_HLA-F_to_KIR3DL2,3.5081129006577767e-06,shap_tree,Receiver,HLA-F,KIR3DL2,HLA-F → KIR3DL2
1,P1,CCC_Sender_HLA-F_to_LILRB1,0.0014976608027689835,shap_tree,Sender,HLA-F,LILRB1,HLA-F → LILRB1
1,P1,CCC_Receiver_HLA-F_to_LILRB1,3.9916213125728026e-05,shap_tree,Receiver,HLA-F,LILRB1,HLA-F → LILRB1
1,P1,CCC_Sender_HLA-F_to_LILRB2,0.005660522193011454,shap_tree,Sender,HLA-F,LILRB2,HLA-F → LILRB2
1,P1,CCC_Receiver_HLA-F_to_LILRB2,1.2921974117212538e-05,shap_tree,Receiver,HLA-F,LILRB2,HLA-F → LILRB2
1,P1,CCC_Sender_HLA-G_to_LILRB1,0.0008725606564982182,shap_tree,Sender,HLA-G,LILRB1,HLA-G → LILRB1
