feature,overall_mean_importance,overall_std_importance,conditional_mean_importance,n_folds_selected,selection_frequency,overall_sem_importance,cv_importance_all_folds,feature_type
CCC_Sender_CCL5_to_CCR1,0.06765737625663608,0.02385703176581188,0.06765737625663608,32,1.0,0.004217367235147113,0.35261538483724303,Cell-to-cell communication
CCC_Sender_HLA-F_to_LILRB2,0.03856497739780692,0.016922615076665676,0.03856497739780692,32,1.0,0.0029915239690300015,0.4388078567272288,Cell-to-cell communication
CCC_Sender_HLA-B_to_KIR3DL2,0.030674728763409796,0.035189438813736505,0.030674728763409796,32,1.0,0.006220672702835545,1.1471801131526893,Cell-to-cell communication
CCC_Sender_HLA-C_to_KIR2DL3,0.027659583264507688,0.018114703010564802,0.027659583264507688,32,1.0,0.0032022573344876845,0.6549159774872416,Cell-to-cell communication
CCC_Sender_HLA-E_to_KLRC2,0.024413065514770946,0.010121584662289906,0.024413065514770946,32,1.0,0.001789260287764736,0.4145970384655674,Cell-to-cell communication
CCC_Sender_HLA-G_to_LILRB2,0.02420523726064302,0.010694861108959116,0.02420523726064302,32,1.0,0.0018906022034983175,0.44184078816482564,Cell-to-cell communication
CCC_Sender_CCL5_to_CCR5,0.02171898165097931,0.00921718303792447,0.02171898165097931,32,1.0,0.0016293831573885036,0.4243837573070037,Cell-to-cell communication
CCC_Receiver_LGALS9_to_P4HB,0.018742967403248552,0.00985862010671612,0.018742967403248552,32,1.0,0.0017427742826502533,0.5259903565220635,Cell-to-cell communication
CCC_Sender_HLA-E_to_KLRC1,0.01567166075950675,0.006071994977914056,0.01567166075950675,32,1.0,0.0010733872060534225,0.38745063915645694,Cell-to-cell communication
CCC_Sender_HLA-E_to_KLRK1,0.014080763273585001,0.008471885294095734,0.014080763273585001,32,1.0,0.0014976318852224205,0.6016637826721142,Cell-to-cell communication
CCC_Sender_CCL5_to_CCR4,0.009085378551650264,0.004099570439554726,0.009085378551650264,32,1.0,0.0007247085144402655,0.4512272566573555,Cell-to-cell communication
CCC_Sender_HLA-F_to_KIR3DL2,0.00886984832801716,0.008780420263274658,0.00886984832801716,32,1.0,0.0015521736774573203,0.9899177458919984,Cell-to-cell communication
CCC_Sender_LGALS9_to_HAVCR2,0.00845333568967442,0.003353020091090285,0.00845333568967442,32,1.0,0.0005927358109661689,0.39665053112535587,Cell-to-cell communication
CCC_Sender_CCL3_to_CCR1,0.008205377837039495,0.0030629111164946045,0.008205377837039495,32,1.0,0.0005414513051612486,0.3732809356649571,Cell-to-cell communication
CCC_Sender_CCL4_to_CCR5,0.007955870802633774,0.003596638427471974,0.007955870802633774,32,1.0,0.0006358018553853884,0.45207350856945977,Cell-to-cell communication
CCC_Receiver_LGALS9_to_HAVCR2,0.007286501385087122,0.0033228369266706556,0.007286501385087122,32,1.0,0.0005874001309064718,0.4560263905900466,Cell-to-cell communication
CCC_Sender_HLA-F_to_LILRB1,0.0054744727860364965,0.004532148980391613,0.0054744727860364965,32,1.0,0.0008011783193456516,0.8278694876247392,Cell-to-cell communication
CCC_Receiver_ICAM1_to_ITGAL,0.005467348887929703,0.0022475717780702695,0.005467348887929703,32,1.0,0.0003973183113692484,0.4110898763077378,Cell-to-cell communication
CCC_Receiver_PVR_to_CD96,0.00497371046907211,0.0036348637016764746,0.00497371046907211,32,1.0,0.0006425591930360677,0.7308152986143945,Cell-to-cell communication
CCC_Sender_CCL3_to_CCR5,0.0049721487468746325,0.0018223932256277505,0.0049721487468746325,32,1.0,0.00032215665195745204,0.36652025480397404,Cell-to-cell communication
