ligand,receptor,ligand_receptor_pair,mean_pair_importance,std_pair_importance,mean_sender_importance,mean_receiver_importance,n_folds,sem_pair_importance,dominant_component
CCL5,CCR1,CCL5 → CCR1,0.06776299362763702,0.023874237634916872,0.06765737625663608,0.00010561737100094713,32,0.0042204088318272,Sender-like
HLA-F,LILRB2,HLA-F → LILRB2,0.038922398866503095,0.017018686719284984,0.03856497739780693,0.0003574214686961671,32,0.003008507196523962,Sender-like
HLA-B,KIR3DL2,HLA-B → KIR3DL2,0.030691158028767436,0.03519879311885792,0.030674728763409792,1.6429265357641264e-05,32,0.006222326325981705,Sender-like
HLA-C,KIR2DL3,HLA-C → KIR2DL3,0.027672259987915303,0.01811714844912712,0.027659583264507685,1.2676723407617384e-05,32,0.003202689631035282,Sender-like
HLA-G,LILRB2,HLA-G → LILRB2,0.024669961312476698,0.010817948166392293,0.024205237260643025,0.0004647240518336715,32,0.001912361126745142,Sender-like
HLA-E,KLRC2,HLA-E → KLRC2,0.024444005366716964,0.01012838582321543,0.02441306551477095,3.093985194601407e-05,32,0.0017904625745173307,Sender-like
CCL5,CCR5,CCL5 → CCR5,0.022531673529201695,0.00952226479204788,0.021718981650979314,0.000812691878222383,32,0.0016833145016777412,Sender-like
LGALS9,P4HB,LGALS9 → P4HB,0.022334719546672106,0.011033930981610594,0.0035917521434235566,0.01874296740324855,32,0.0019505418550602974,Receiver-like
LGALS9,HAVCR2,LGALS9 → HAVCR2,0.01573983707476154,0.00601716867597685,0.008453335689674418,0.007286501385087122,32,0.0010636951935816274,Sender-like
HLA-E,KLRC1,HLA-E → KLRC1,0.01572612626501184,0.006088458927203222,0.01567166075950675,5.446550550509048e-05,32,0.0010762976486002925,Sender-like
HLA-E,KLRK1,HLA-E → KLRK1,0.014602045882505799,0.008708367141307655,0.014080763273585007,0.0005212826089207909,32,0.0015394363646701879,Sender-like
CCL4,CCR5,CCL4 → CCR5,0.010978278520079697,0.004794429203960883,0.007955870802633772,0.003022407717445925,32,0.0008475433505098903,Sender-like
CCL5,CCR4,CCL5 → CCR4,0.009109933121081992,0.004101766066762654,0.009085378551650262,2.4554569431731682e-05,32,0.0007250966501621864,Sender-like
HLA-F,KIR3DL2,HLA-F → KIR3DL2,0.00888968746799757,0.008796597035894204,0.008869848328017162,1.9839139980407556e-05,32,0.0015550333538615687,Sender-like
CCL3,CCR5,CCL3 → CCR5,0.00888476084310673,0.0037623383149533464,0.0049721487468746325,0.003912612096232097,32,0.0006650937339053699,Sender-like
CCL3,CCR1,CCL3 → CCR1,0.008336013004755236,0.0031137325886294613,0.008205377837039497,0.00013063516771573844,32,0.0005504353570553586,Sender-like
ICAM1,ITGAL,ICAM1 → ITGAL,0.0056869653094608705,0.002285986634584031,0.0002196164215311679,0.005467348887929703,32,0.00040410916275404564,Receiver-like
HLA-F,LILRB1,HLA-F → LILRB1,0.005563934025979909,0.004541944607321777,0.005474472786036496,8.946123994341289e-05,32,0.0008029099579027248,Sender-like
PVR,CD96,PVR → CD96,0.004978592559137195,0.0036379995084687184,4.8820900650852396e-06,0.00497371046907211,32,0.0006431135305978894,Receiver-like
HLA-G,LILRB1,HLA-G → LILRB1,0.004298814189010918,0.0027265224339711575,0.004211111642793304,8.770254621761447e-05,32,0.000481985625529564,Sender-like
PVR,TIGIT,PVR → TIGIT,0.004077971705551712,0.0027926434589527777,1.922193113935189e-06,0.004076049512437777,32,0.0004936742818154413,Receiver-like
SELPLG,SELL,SELPLG → SELL,0.0034435588538032484,0.0023931555514726723,0.002773551185943889,0.0006700076678593591,32,0.00042305412972013954,Sender-like
CD86,CTLA4,CD86 → CTLA4,0.003357781377183308,0.002191797975522861,0.00030391963433940445,0.0030538617428439033,32,0.00038745880287079033,Receiver-like
TNF,TNFRSF1B,TNF → TNFRSF1B,0.003260220655517235,0.001783645811151439,0.0001574608399564148,0.00310275981556082,32,0.00031530701207504064,Receiver-like
CD274,PDCD1,CD274 → PDCD1,0.00306631874788167,0.0020489726708514578,2.90281915112944e-05,0.0030372905563703758,32,0.0003622106175062444,Receiver-like
LTB,LTBR,LTB → LTBR,0.0023456993053402875,0.001993957676735706,0.0022019916904905085,0.00014370761484977884,32,0.00035248524865469784,Sender-like
TNFSF14,TNFRSF14,TNFSF14 → TNFRSF14,0.002328805177797181,0.0017198660797937363,4.7562802924126576e-05,0.002281242374873054,32,0.00030403224193871866,Receiver-like
LTA,TNFRSF1B,LTA → TNFRSF1B,0.001904607916373437,0.0011908723276934884,3.155638208557356e-05,0.0018730515342878634,32,0.00021051847460986847,Receiver-like
BTLA,TNFRSF14,BTLA → TNFRSF14,0.0017524559386130297,0.0016260182580098378,6.129326189005e-05,0.0016911626767229797,32,0.00028744213414297337,Receiver-like
TNF,TNFRSF1A,TNF → TNFRSF1A,0.0015636599062429331,0.0015504715333168326,0.0008511357111334281,0.000712524195109505,32,0.0002740872338112591,Sender-like
CSF1,CSF1R,CSF1 → CSF1R,0.0010840223356837287,0.00040933521686197123,0.0001503491434094031,0.0009336731922743256,32,7.236092690539146e-05,Receiver-like
CD86,CD28,CD86 → CD28,0.0010067708091467684,0.0006829610301958261,0.00010299376585773008,0.0009037770432890382,32,0.00012073159393440477,Receiver-like
CCL3L1,CCR1,CCL3L1 → CCR1,0.0009697152573629453,0.00048386811450932285,0.00041416149021293564,0.0005555537671500096,32,8.553660624237277e-05,Receiver-like
LTA,TNFRSF14,LTA → TNFRSF14,0.0008598132226076392,0.0010288322749841012,3.931966808309282e-05,0.0008204935545245463,32,0.00018187356958621016,Receiver-like
CXCL16,CXCR6,CXCL16 → CXCR6,0.0007893624373865602,0.0004782884090001812,0.0002513088237352812,0.000538053613651279,32,8.455024434173827e-05,Receiver-like
CXCL13,CXCR5,CXCL13 → CXCR5,0.000528639110315004,0.0005222402372655831,0.00043206213327632936,9.657697703867467e-05,32,9.231990329474133e-05,Sender-like
TNFSF14,LTBR,TNFSF14 → LTBR,0.000526771829694038,0.0003141280563062845,7.108532756061419e-05,0.0004556865021334238,32,5.5530519693780846e-05,Receiver-like
ICOSLG,ICOS,ICOSLG → ICOS,0.0004984593467427662,0.0004125365295346172,2.392955051144411e-05,0.00047452979623132204,32,7.292684438027306e-05,Receiver-like
TNFSF4,TNFRSF4,TNFSF4 → TNFRSF4,0.00048216844378736606,0.0006178461894180401,1.1667185501946466e-05,0.0004705012582854196,32,0.00010922080756694105,Receiver-like
TNFSF9,TNFRSF9,TNFSF9 → TNFRSF9,0.00042176391333915454,0.0003328708143654211,0.00015168612229779767,0.00027007779104135684,32,5.884380252421942e-05,Receiver-like
FASLG,FAS,FASLG → FAS,0.0004080702138511558,0.00047707906049984167,5.0154292621860155e-05,0.0003579159212292957,32,8.43364597103863e-05,Receiver-like
VEGFA,NRP1,VEGFA → NRP1,0.0003589445576380719,0.0002981327429399794,8.838685326528231e-05,0.0002705577043727895,32,5.27029210566513e-05,Receiver-like
TNFSF12,TNFRSF25,TNFSF12 → TNFRSF25,0.0002932916760057787,0.0003374986962017045,6.153417214127594e-05,0.00023175750386450274,32,5.9661904181460935e-05,Receiver-like
TNFSF10,TNFRSF10B,TNFSF10 → TNFRSF10B,0.0002505944327026132,0.00027539610651895443,0.00020973873416720848,4.085569853540474e-05,32,4.8683613607981355e-05,Sender-like
TGFB1,TGFBR3,TGFB1 → TGFBR3,0.00022582287670748884,0.0002799112638907545,7.327074099242078e-05,0.00015255213571506806,32,4.948178820691242e-05,Receiver-like
VEGFB,NRP1,VEGFB → NRP1,0.00021057166683931215,0.00020672428689617008,4.9407055520209506e-05,0.00016116461131910264,32,3.65440362750588e-05,Receiver-like
LTA,TNFRSF1A,LTA → TNFRSF1A,0.00018957047943476718,0.0003279748716331319,4.428987073236705e-05,0.00014528060870240013,32,5.7978313947643754e-05,Receiver-like
CCL2,CCR2,CCL2 → CCR2,0.00017612483431972864,0.0003015319380318421,3.5538116493094276e-05,0.00014058671782663437,32,5.330381953165934e-05,Receiver-like
TNFSF10,TNFRSF10D,TNFSF10 → TNFRSF10D,0.00016132095258443625,0.0002581378085648466,0.0001522024263650601,9.118526219376121e-06,32,4.563274872920947e-05,Sender-like
CXCL2,DPP4,CXCL2 → DPP4,0.0001581473789853927,0.0002304342776162335,0.0001206054915461207,3.7541887439272e-05,32,4.073541008006554e-05,Sender-like
TNFSF10,TNFRSF10A,TNFSF10 → TNFRSF10A,0.00011403223363758918,0.00010646529606108036,8.643924731736543e-05,2.7592986320223757e-05,32,1.8820583201455837e-05,Sender-like
VEGFA,NRP2,VEGFA → NRP2,9.918050402681044e-05,0.00020647137460205655,5.9984850407892225e-05,3.919565361891822e-05,32,3.649932727550552e-05,Sender-like
CD40LG,CD40,CD40LG → CD40,8.41855475277189e-05,0.00010083320405245171,2.1386112118961567e-05,6.279943540875734e-05,32,1.7824960588563866e-05,Receiver-like
PVR,CD226,PVR → CD226,4.960806690054837e-05,0.00010825267188105958,4.891352097186905e-06,4.471671480336146e-05,32,1.913654959216488e-05,Receiver-like
TNFSF12,TNFRSF12A,TNFSF12 → TNFRSF12A,3.092883480569183e-05,5.939905427373568e-05,1.3298199859516515e-05,1.7630634946175314e-05,32,1.0500368518256568e-05,Receiver-like
