fold,held_patient,ligand,receptor,ligand_receptor_pair,Receiver,Sender,pair_importance
1,P1,BTLA,TNFRSF14,BTLA → TNFRSF14,0.0006560457114361204,2.3015126413763866e-06,0.0006583472240774968
1,P1,CCL2,CCR2,CCL2 → CCR2,0.0,0.0,0.0
1,P1,CCL3,CCR1,CCL3 → CCR1,0.00013078810578019885,0.00639876268419097,0.006529550789971169
1,P1,CCL3,CCR5,CCL3 → CCR5,0.0011697442533851693,0.003305694281178938,0.004475438534564107
1,P1,CCL3L1,CCR1,CCL3L1 → CCR1,0.0001123245513934909,4.893064797670327e-05,0.00016125519937019417
1,P1,CCL4,CCR5,CCL4 → CCR5,0.0019116534640164096,0.006281027292035852,0.008192680756052262
1,P1,CCL5,CCR1,CCL5 → CCR1,5.950445142287767e-05,0.05057279278567457,0.05063229723709745
1,P1,CCL5,CCR4,CCL5 → CCR4,0.0,0.010233878794326974,0.010233878794326974
1,P1,CCL5,CCR5,CCL5 → CCR5,0.0004996140912985147,0.011057704335435866,0.011557318426734381
1,P1,CD274,PDCD1,CD274 → PDCD1,0.010755585692302823,0.00022890585281552334,0.010984491545118345
1,P1,CD40LG,CD40,CD40LG → CD40,0.0,5.167820911062243e-07,5.167820911062243e-07
1,P1,CD86,CD28,CD86 → CD28,4.618122613945272e-05,0.0,4.618122613945272e-05
1,P1,CD86,CTLA4,CD86 → CTLA4,0.0018950271675810945,0.00022140213762359158,0.002116429305204686
1,P1,CSF1,CSF1R,CSF1 → CSF1R,0.0004739492097153365,0.00032274707117254753,0.0007966962808878841
1,P1,CXCL13,CXCR5,CXCL13 → CXCR5,7.049921209979003e-05,0.0001194049733123737,0.00018990418541216372
1,P1,CXCL16,CXCR6,CXCL16 → CXCR6,0.0003212251631900841,4.5441846746480455e-05,0.00036666700993656453
1,P1,CXCL2,DPP4,CXCL2 → DPP4,0.0,0.0,0.0
1,P1,FASLG,FAS,FASLG → FAS,5.0148694927466274e-05,0.0,5.0148694927466274e-05
1,P1,HLA-B,KIR3DL2,HLA-B → KIR3DL2,0.0,0.014980378109295712,0.014980378109295712
1,P1,HLA-C,KIR2DL3,HLA-C → KIR2DL3,0.0,0.020961915678008005,0.020961915678008005
1,P1,HLA-E,KLRC1,HLA-E → KLRC1,7.794707485537115e-06,0.012033161412762512,0.01204095612024805
1,P1,HLA-E,KLRC2,HLA-E → KLRC2,2.068268156720465e-06,0.043166269917060934,0.043168338185217654
1,P1,HLA-E,KLRK1,HLA-E → KLRK1,5.38262652343547e-05,0.010475354395105097,0.010529180660339452
1,P1,HLA-F,KIR3DL2,HLA-F → KIR3DL2,3.5081129006577767e-06,0.004305758829844633,0.004309266942745291
1,P1,HLA-F,LILRB1,HLA-F → LILRB1,3.9916213125728026e-05,0.0014976608027689835,0.0015375770158947116
1,P1,HLA-F,LILRB2,HLA-F → LILRB2,1.2921974117212538e-05,0.005660522193011454,0.0056734441671286665
1,P1,HLA-G,LILRB1,HLA-G → LILRB1,2.5399455792043057e-05,0.0008725606564982182,0.0008979601122902612
1,P1,HLA-G,LILRB2,HLA-G → LILRB2,2.412076811506545e-05,0.010295052953824144,0.010319173721939209
1,P1,ICAM1,ITGAL,ICAM1 → ITGAL,0.009599373153273793,0.0004352032025693752,0.010034576355843167
1,P1,ICOSLG,ICOS,ICOSLG → ICOS,4.461350056040333e-05,0.0,4.461350056040333e-05
1,P1,LGALS9,HAVCR2,LGALS9 → HAVCR2,0.00404563327286602,0.005406412446312992,0.00945204571917901
1,P1,LGALS9,P4HB,LGALS9 → P4HB,0.006868500929180691,0.0036703376575833832,0.010538838586764075
