feature,feature_value_scaled,shap_value,fold,held_patient
CCC_Receiver_LGALS9_to_P4HB,0.3108173484844945,0.0066710187640843886,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.26791992887198546,0.007585090777064401,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.007183985761587108,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.006139429010322359,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.3889128285512739,0.006462513400741132,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.007392538051017526,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.007686419033121151,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.0065081600245975426,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.008822502354917912,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.2646200263575879,0.007246073304927305,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.006797967238755721,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.21512294761346815,0.008980207702646991,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.009660698333553638,0.0056883729507266655,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.006288852207409806,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.006566625229050965,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.37508556880684424,0.007886008717700769,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.37274661809680953,0.008075994464425933,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.5713313106377376,0.007357623093613351,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.3177828448057264,0.007894298273390726,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.007979026461819852,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.0074643162814175285,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.11434510132939349,0.005799667144363187,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.005778711763706715,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.005857462215773626,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.0077611715818949305,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.006890588688591945,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.008799930792948276,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.007739244919729282,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.12433176359442621,0.007461815605481904,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.5048935034126797,0.00588233316212874,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.3548148328665922,0.007091811876507345,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.007799249463746069,1,P1
