fold,held_patient,feature,importance,method
1,P1,FGR,3.178125916747376e-05,shap_tree
1,P1,NDUFAF7,0.0,shap_tree
1,P1,BZRAP1,0.00011186789924977347,shap_tree
1,P1,CCL3,0.00506795896217227,shap_tree
1,P1,PAFAH1B1,0.0,shap_tree
1,P1,CD79B,0.0004584236885420978,shap_tree
1,P1,MED24,7.876807103457395e-06,shap_tree
1,P1,DYRK4,0.0,shap_tree
1,P1,MKS1,6.606564966205042e-06,shap_tree
1,P1,PLAUR,3.6658811950474046e-06,shap_tree
1,P1,TYROBP,0.0,shap_tree
1,P1,CD22,1.9031964484383934e-06,shap_tree
1,P1,PRICKLE3,0.0,shap_tree
1,P1,MAP4K5,0.0,shap_tree
1,P1,CLDN11,3.566479790606536e-05,shap_tree
1,P1,SLC11A1,3.0880069971317425e-05,shap_tree
1,P1,MARCO,0.0,shap_tree
1,P1,CD74,0.0041326722130179405,shap_tree
1,P1,NR1H3,0.0,shap_tree
1,P1,GRN,3.649306017905474e-05,shap_tree
1,P1,NSMAF,3.0207263989723288e-05,shap_tree
1,P1,STAP1,0.0,shap_tree
1,P1,METTL1,8.793950655672234e-06,shap_tree
1,P1,VCAN,0.0,shap_tree
1,P1,CAPG,0.0,shap_tree
1,P1,ADAM28,0.00012601118942257017,shap_tree
1,P1,TNFRSF9,0.00014034863852430135,shap_tree
1,P1,FAR2,0.0,shap_tree
1,P1,CHI3L2,0.0,shap_tree
1,P1,WDR3,0.0,shap_tree
1,P1,ADAT1,0.0,shap_tree
1,P1,ZNRD1,6.977611337788403e-05,shap_tree
1,P1,STAG3,4.5435108404490165e-06,shap_tree
1,P1,IFT80,0.0,shap_tree
1,P1,BCL3,4.796754728886299e-05,shap_tree
1,P1,WIPI1,0.0,shap_tree
1,P1,SEL1L,6.441682489821687e-05,shap_tree
1,P1,TFRC,0.00023090980539564043,shap_tree
1,P1,MPP5,0.0,shap_tree
1,P1,BCS1L,0.0,shap_tree
1,P1,SLC46A1,0.0,shap_tree
1,P1,FAM76B,0.0,shap_tree
1,P1,SLC1A3,0.0,shap_tree
1,P1,TNS1,0.0,shap_tree
1,P1,REXO1,0.0,shap_tree
1,P1,SESN1,2.3384751330013387e-05,shap_tree
1,P1,CXCL2,0.0,shap_tree
1,P1,COBLL1,0.0,shap_tree
1,P1,NFE2L1,1.1516260201460682e-05,shap_tree
1,P1,KAT6A,1.652259743423201e-05,shap_tree
1,P1,ULK2,0.0,shap_tree
1,P1,FCN1,0.0,shap_tree
1,P1,SCAMP1,0.0,shap_tree
1,P1,DDHD2,2.5597995772841386e-05,shap_tree
1,P1,ERGIC2,0.0,shap_tree
1,P1,KIF9,0.0,shap_tree
1,P1,OAS1,0.0006450386135838926,shap_tree
1,P1,LYZ,0.0,shap_tree
1,P1,ZNF268,0.0,shap_tree
1,P1,AAAS,5.2272491302574053e-05,shap_tree
1,P1,HOOK2,7.12074961484177e-06,shap_tree
1,P1,ACOT7,0.0008895010687410831,shap_tree
1,P1,OSM,0.0,shap_tree
1,P1,GGT1,1.0668354661902413e-05,shap_tree
1,P1,LGALS2,1.9599043298512697e-05,shap_tree
1,P1,CBY1,0.0,shap_tree
1,P1,HMOX1,0.0,shap_tree
1,P1,MCAT,0.0,shap_tree
1,P1,GZMB,0.06226818636059761,shap_tree
1,P1,AP4S1,0.0,shap_tree
1,P1,CDKN3,0.0,shap_tree
1,P1,PIGH,0.0,shap_tree
1,P1,LGMN,0.0,shap_tree
1,P1,TCL1A,0.0,shap_tree
1,P1,GMPR2,2.0447614588192664e-05,shap_tree
1,P1,MMP9,0.0,shap_tree
1,P1,PABPC1L,0.0,shap_tree
1,P1,NDUFAF5,0.0,shap_tree
1,P1,CST3,0.0002646786451805383,shap_tree
1,P1,ALG13,6.770206709916238e-06,shap_tree
1,P1,MOSPD1,0.0,shap_tree
1,P1,CDK16,7.208021270344034e-05,shap_tree
1,P1,TIMP1,0.0002079606056213379,shap_tree
1,P1,KIAA0226L,0.0,shap_tree
1,P1,ACP5,8.557196997571737e-05,shap_tree
1,P1,RGCC,0.0,shap_tree
1,P1,DHRS12,0.0,shap_tree
1,P1,TSC22D1,0.0,shap_tree
1,P1,DTWD1,0.0,shap_tree
1,P1,SARS2,0.0,shap_tree
1,P1,FCER2,0.0,shap_tree
1,P1,IL4I1,0.0,shap_tree
1,P1,ZNF419,0.0,shap_tree
1,P1,PDCD5,0.0,shap_tree
1,P1,EBI3,0.0,shap_tree
1,P1,CD79A,0.0019429536769166589,shap_tree
1,P1,LILRB5,0.0,shap_tree
1,P1,PON2,0.000173554100911133,shap_tree
1,P1,CAV1,0.0,shap_tree
1,P1,CPVL,0.0,shap_tree
1,P1,ABHD11,0.0,shap_tree
1,P1,EPHB6,0.0,shap_tree
1,P1,HSPB1,0.02904529497027397,shap_tree
1,P1,SNX8,0.0,shap_tree
1,P1,CEP41,6.710833258694038e-05,shap_tree
1,P1,TMEM176B,0.0,shap_tree
1,P1,ARHGAP21,0.0,shap_tree
1,P1,RAD51C,0.0,shap_tree
1,P1,RECQL5,0.0,shap_tree
1,P1,PIGL,0.00014131685020402074,shap_tree
1,P1,GALK1,3.0598654120694846e-05,shap_tree
1,P1,LGALS3BP,9.612412213755306e-06,shap_tree
1,P1,CCL2,0.0,shap_tree
1,P1,DHX58,2.4781941192486556e-06,shap_tree
1,P1,TNFAIP1,0.0,shap_tree
1,P1,RAB34,3.25890573549259e-06,shap_tree
1,P1,SLC2A9,0.0,shap_tree
1,P1,MS4A6A,0.0,shap_tree
1,P1,MS4A4A,0.0,shap_tree
1,P1,PRR4,0.0,shap_tree
1,P1,GTF2H3,0.0,shap_tree
1,P1,DDX55,0.0,shap_tree
1,P1,STX2,0.0,shap_tree
1,P1,IFNG,0.009747329168021679,shap_tree
1,P1,CHPT1,0.0,shap_tree
1,P1,GNPTAB,8.439327757514548e-06,shap_tree
1,P1,ADTRP,0.0,shap_tree
1,P1,SOD2,5.2205865358700976e-05,shap_tree
1,P1,CD83,0.00016521199722774327,shap_tree
1,P1,APBB3,7.55916107664234e-06,shap_tree
1,P1,CISH,0.0,shap_tree
1,P1,GORASP1,0.0,shap_tree
1,P1,FAHD2A,0.0,shap_tree
1,P1,ACVR1,0.0,shap_tree
1,P1,INO80B,0.0,shap_tree
1,P1,FN1,5.289278306008782e-06,shap_tree
1,P1,GNLY,3.0180197427398525e-05,shap_tree
1,P1,EPHA4,0.0,shap_tree
1,P1,CACYBP,0.000540914770681411,shap_tree
1,P1,AMPD2,1.2188957043690607e-05,shap_tree
1,P1,ZBTB17,4.8852730287762824e-06,shap_tree
1,P1,TTF2,0.0,shap_tree
1,P1,GBP1,0.014837238006293774,shap_tree
1,P1,CD160,0.0,shap_tree
1,P1,GALE,0.0,shap_tree
1,P1,CDC20,0.0,shap_tree
1,P1,PIK3R3,0.0,shap_tree
1,P1,RCOR3,0.0,shap_tree
1,P1,STMN1,6.329420284600928e-05,shap_tree
1,P1,CTSD,0.001196548342704773,shap_tree
1,P1,C1orf54,0.0,shap_tree
1,P1,ARMC2,0.0,shap_tree
1,P1,SPP1,0.0,shap_tree
1,P1,CSF3R,0.00037336317473091185,shap_tree
1,P1,BCL11A,0.0,shap_tree
1,P1,IFIT3,3.0234908990678377e-05,shap_tree
1,P1,IFIT2,1.877520844573155e-05,shap_tree
1,P1,HSPH1,0.0015623555518686771,shap_tree
1,P1,TGFBI,0.00044266090844757855,shap_tree
1,P1,CLU,0.0,shap_tree
