feature,overall_mean_importance,overall_std_importance,conditional_mean_importance,n_folds_selected,selection_frequency,overall_sem_importance,cv_importance_all_folds,feature_type
IFI6,0.1271457817638293,0.09135015094073987,0.1271457817638293,32,1.0,0.016148577798152958,0.718467806587724,Gene
MT2A,0.06317524249607231,0.05941956114749201,0.06317524249607231,32,1.0,0.010503993655630078,0.940551374237878,Gene
WARS,0.05528050073189661,0.05215678761833524,0.05528050073189661,32,1.0,0.009220104552457852,0.943493400526327,Gene
CCL4L1,0.03988624372141203,0.03581306474200909,0.03988624372141203,32,1.0,0.00633091523353687,0.8978801060372515,Gene
CCR7,0.0378935718908906,0.041733768167577054,0.0378935718908906,32,1.0,0.007377557618940252,1.1013416282778457,Gene
GZMB,0.02927970733435359,0.040203245857871,0.04073698411736151,23,0.71875,0.00710699694295264,1.373075399927271,Gene
ISG15,0.024814360131131252,0.03410929877596254,0.024814360131131252,32,1.0,0.006029729116500279,1.37457901778294,Gene
GBP1,0.023494931811001152,0.037316970142655496,0.02425283283716248,31,0.96875,0.006596770660301906,1.5882987208833856,Gene
SAT1,0.021216810355412008,0.04420151163009506,0.02190122359268336,31,0.96875,0.007813797153084065,2.0833250092571096,Gene
IFI44L,0.017366631522918397,0.0305161344840468,0.018524406957779623,30,0.9375,0.005394541407317534,1.7571706086914591,Gene
CD74,0.017019418806285103,0.03318361089750657,0.01815404672670411,30,0.9375,0.005866089072470678,1.949749945941291,Gene
TXN,0.016415462943996317,0.02856206420461262,0.016415462943996317,32,1.0,0.005049107320941784,1.739948748448713,Gene
HLA-DRB5,0.015120610209123697,0.03847011117754839,0.04032162722432986,12,0.375,0.006800619121661216,2.5442168434667884,Gene
LGALS1,0.014712854870595038,0.03677951755795496,0.0784685593098402,6,0.1875,0.0065017615684999095,2.4998219503586707,Gene
HSPB1,0.01446021420957777,0.027148232336758484,0.01446021420957777,32,1.0,0.0047991747956374585,1.8774433036252507,Gene
CCL3,0.014321493736360935,0.021978086131185934,0.014321493736360935,32,1.0,0.0038852134352158965,1.5346224727512625,Gene
HLA-DRA,0.013429784892309726,0.014906918971734698,0.013863003759803589,31,0.96875,0.0026351958728780002,1.1099894072220635,Gene
