feature,feature_value_scaled,shap_value,fold,held_patient
CCR7,-0.4536672830581665,-0.00808869581669569,1,P1
CCR7,-0.4536672830581665,-0.006006963551044464,1,P1
CCR7,1.9751735925674438,0.07857917249202728,1,P1
CCR7,2.227444648742676,0.04485446959733963,1,P1
CCR7,-0.4536672830581665,-0.005057509522885084,1,P1
CCR7,-0.4536672830581665,-0.010232211090624332,1,P1
CCR7,2.3477134704589844,0.10133907943964005,1,P1
CCR7,-0.4536672830581665,-0.009192646481096745,1,P1
CCR7,2.2479782104492188,0.03980867937207222,1,P1
CCR7,-0.4536672830581665,-0.011857884004712105,1,P1
CCR7,-0.4536672830581665,-0.009370130486786366,1,P1
CCR7,2.3653135299682617,0.0051881056278944016,1,P1
CCR7,-0.4536672830581665,-0.014347475953400135,1,P1
CCR7,-0.4536672830581665,-0.02541729249060154,1,P1
CCR7,-0.4536672830581665,-0.009389674291014671,1,P1
CCR7,2.2421114444732666,0.11527426540851593,1,P1
CCR7,-0.4536672830581665,-0.01487306971102953,1,P1
CCR7,-0.4536672830581665,-0.005871852394193411,1,P1
CCR7,-0.4536672830581665,-0.034191980957984924,1,P1
CCR7,-0.4536672830581665,-0.018160665407776833,1,P1
CCR7,-0.4536672830581665,-0.018878279253840446,1,P1
CCR7,-0.4536672830581665,-0.03618226945400238,1,P1
CCR7,-0.4536672830581665,-0.011128563433885574,1,P1
CCR7,-0.4536672830581665,-0.022811168804764748,1,P1
CCR7,-0.4536672830581665,-0.0130560752004385,1,P1
CCR7,-0.4536672830581665,-0.017787456512451172,1,P1
CCR7,1.5938339233398438,0.044489942491054535,1,P1
CCR7,-0.4536672830581665,-0.015271403826773167,1,P1
CCR7,-0.4536672830581665,-0.01162734068930149,1,P1
CCR7,-0.4536672830581665,-0.011006717570126057,1,P1
CCR7,-0.4536672830581665,-0.011317308060824871,1,P1
CCR7,2.438647985458374,0.0655757486820221,1,P1
CCR7,-0.4536672830581665,-0.020340854302048683,1,P1
CCR7,-0.4536672830581665,-0.005906261038035154,1,P1
CCR7,-0.4536672830581665,-0.007064845412969589,1,P1
CCR7,-0.4536672830581665,-0.009231538511812687,1,P1
CCR7,2.7730538845062256,0.03419175744056702,1,P1
CCR7,2.632251501083374,0.05119529739022255,1,P1
CCR7,-0.4536672830581665,-0.006967940833419561,1,P1
CCR7,-0.4536672830581665,-0.026682235300540924,1,P1
CCR7,1.8519716262817383,0.048502709716558456,1,P1
CCR7,-0.4536672830581665,-0.00677810562774539,1,P1
CCR7,-0.4536672830581665,-0.020358318462967873,1,P1
CCR7,-0.4536672830581665,-0.010271117091178894,1,P1
CCR7,-0.4536672830581665,-0.025737492367625237,1,P1
CCR7,-0.4536672830581665,-0.006070796865969896,1,P1
CCR7,-0.4536672830581665,-0.01113900262862444,1,P1
CCR7,1.7991706132888794,0.04351155832409859,1,P1
CCR7,2.23917818069458,0.03623148426413536,1,P1
CCR7,-0.4536672830581665,-0.004651953000575304,1,P1
CCR7,-0.4536672830581665,-0.012164192274212837,1,P1
CCR7,-0.4536672830581665,-0.028043020516633987,1,P1
CCR7,2.0015740394592285,0.038665398955345154,1,P1
CCR7,-0.4536672830581665,-0.02271554246544838,1,P1
CCR7,2.391714096069336,0.013781360350549221,1,P1
CCR7,1.1391595602035522,0.0924338698387146,1,P1
CCR7,-0.4536672830581665,-0.008130816742777824,1,P1
CCR7,2.198110818862915,0.045490533113479614,1,P1
CCR7,-0.4536672830581665,-0.009952109307050705,1,P1
CCR7,2.1893107891082764,0.03659195825457573,1,P1
CCR7,-0.4536672830581665,-0.024346372112631798,1,P1
CCR7,-0.4536672830581665,-0.009057795628905296,1,P1
CCR7,-0.4536672830581665,-0.024020174518227577,1,P1
CCR7,2.0514416694641113,0.032897233963012695,1,P1
CCR7,-0.4536672830581665,-0.005900661926716566,1,P1
CCR7,-0.4536672830581665,-0.011337203904986382,1,P1
CCR7,-0.4536672830581665,-0.02292051538825035,1,P1
CCR7,2.6205177307128906,0.054952431470155716,1,P1
CCR7,-0.4536672830581665,-0.014192597009241581,1,P1
CCR7,-0.4536672830581665,-0.013149749487638474,1,P1
CCR7,-0.4536672830581665,-0.014876453205943108,1,P1
CCR7,2.233311414718628,0.03353879973292351,1,P1
CCR7,-0.4536672830581665,-0.010119256563484669,1,P1
CCR7,-0.4536672830581665,-0.02503022737801075,1,P1
CCR7,-0.4536672830581665,0.0024478198029100895,1,P1
CCR7,2.570650577545166,0.03959883749485016,1,P1
CCR7,-0.4536672830581665,-0.022122357040643692,1,P1
CCR7,-0.4536672830581665,-0.03181442618370056,1,P1
CCR7,-0.4536672830581665,-0.02823760360479355,1,P1
CCR7,-0.4536672830581665,-0.01763630472123623,1,P1
CCR7,-0.4536672830581665,-0.00714369909837842,1,P1
CCR7,2.4239814281463623,0.0390348918735981,1,P1
CCR7,0.174076646566391,0.04478074982762337,1,P1
CCR7,2.3799805641174316,0.07965002208948135,1,P1
CCR7,-0.4536672830581665,-0.0244364682585001,1,P1
CCR7,-0.4536672830581665,-0.005070498213171959,1,P1
CCR7,-0.4536672830581665,-0.026883652433753014,1,P1
CCR7,2.1658437252044678,0.04008777067065239,1,P1
CCR7,-0.4536672830581665,-0.01310324389487505,1,P1
CCR7,2.3799805641174316,0.07437893003225327,1,P1
CCR7,-0.4536672830581665,-0.024717649444937706,1,P1
CCR7,2.749586820602417,0.03154284134507179,1,P1
CCR7,1.054091453552246,0.08375649899244308,1,P1
CCR7,-0.4536672830581665,-0.008684039115905762,1,P1
CCR7,-0.4536672830581665,-0.012878078036010265,1,P1
CCR7,2.75545334815979,0.037369899451732635,1,P1
CCR7,2.2685117721557617,0.0414128303527832,1,P1
CCR7,-0.4536672830581665,-0.016455596312880516,1,P1
CCR7,-0.4536672830581665,-0.008370399475097656,1,P1
CCR7,2.2919788360595703,0.09627016633749008,1,P1
CCR7,-0.4536672830581665,-0.012271926738321781,1,P1
CCR7,-0.4536672830581665,-0.031785979866981506,1,P1
CCR7,-0.4536672830581665,-0.009420872665941715,1,P1
CCR7,2.0426416397094727,0.04776221886277199,1,P1
CCR7,2.714386224746704,0.07478246837854385,1,P1
CCR7,-0.4536672830581665,-0.03473277390003204,1,P1
CCR7,2.4357149600982666,0.035835426300764084,1,P1
CCR7,-0.4536672830581665,-0.034110188484191895,1,P1
CCR7,0.003940396010875702,0.0435154028236866,1,P1
CCR7,-0.4536672830581665,-0.026421111077070236,1,P1
CCR7,-0.4536672830581665,-0.01096633356064558,1,P1
CCR7,-0.4536672830581665,-0.012742999941110611,1,P1
CCR7,-0.4536672830581665,-0.011946426704525948,1,P1
CCR7,-0.4536672830581665,-0.008756102062761784,1,P1
CCR7,-0.4536672830581665,-0.008510672487318516,1,P1
CCR7,-0.4536672830581665,-0.010381381027400494,1,P1
CCR7,-0.4536672830581665,-0.03484199196100235,1,P1
CCR7,-0.4536672830581665,-0.011541906744241714,1,P1
CCR7,-0.4536672830581665,-0.03042304329574108,1,P1
CCR7,2.4093143939971924,0.026729943230748177,1,P1
CCR7,-0.4536672830581665,-0.024920107796788216,1,P1
CCR7,-0.4536672830581665,-0.017331711947917938,1,P1
CCR7,-0.4536672830581665,-0.02874983288347721,1,P1
CCR7,2.0162410736083984,0.0723678395152092,1,P1
CCR7,2.7173197269439697,0.0878715068101883,1,P1
CCR7,-0.4536672830581665,-0.00846952386200428,1,P1
CCR7,-0.4536672830581665,-0.017422055825591087,1,P1
CCR7,-0.4536672830581665,-0.010688306763768196,1,P1
CCR7,-0.4536672830581665,-0.013530434109270573,1,P1
CCR7,1.84317147731781,0.039482828229665756,1,P1
CCR7,-0.4536672830581665,-0.001178726670332253,1,P1
CCR7,-0.4536672830581665,-0.014848286285996437,1,P1
CCR7,-0.4536672830581665,-0.014663009904325008,1,P1
CCR7,-0.4536672830581665,-0.0014446850400418043,1,P1
CCR7,-0.4536672830581665,-0.008454305119812489,1,P1
CCR7,-0.4536672830581665,-0.01133141852915287,1,P1
CCR7,-0.4536672830581665,-0.007977570407092571,1,P1
CCR7,-0.4536672830581665,-0.013969382271170616,1,P1
CCR7,-0.4536672830581665,-0.012888228520751,1,P1
CCR7,-0.4536672830581665,-0.018439214676618576,1,P1
CCR7,-0.4536672830581665,-0.016772327944636345,1,P1
CCR7,-0.4536672830581665,-0.032176703214645386,1,P1
CCR7,-0.4536672830581665,-0.013722896575927734,1,P1
CCR7,-0.4536672830581665,-0.01705826260149479,1,P1
CCR7,-0.4536672830581665,-0.0006668519927188754,1,P1
CCR7,2.418114423751831,0.07548466324806213,1,P1
CCR7,-0.4536672830581665,-0.011495404876768589,1,P1
CCR7,-0.4536672830581665,-0.009638101793825626,1,P1
CCR7,-0.4536672830581665,-0.008172423578798771,1,P1
CCR7,-0.4536672830581665,-0.01867026276886463,1,P1
TXN,0.3094705045223236,-0.007577332202345133,1,P1
TXN,-0.6679657697677612,0.006577364634722471,1,P1
TXN,-0.6679657697677612,0.005268387496471405,1,P1
TXN,-0.6679657697677612,0.0073652444407343864,1,P1
TXN,-0.6679657697677612,0.005789635237306356,1,P1
TXN,-0.6679657697677612,0.005203836131840944,1,P1
TXN,0.8307697772979736,-0.00915739219635725,1,P1
TXN,-0.6679657697677612,0.0048278020694851875,1,P1
TXN,-0.6679657697677612,0.0033845254220068455,1,P1
TXN,-0.6679657697677612,0.013801935128867626,1,P1
TXN,1.6353840827941895,-0.0067902118898928165,1,P1
TXN,1.2160780429840088,-0.013936100527644157,1,P1
TXN,-0.6679657697677612,0.001937299151904881,1,P1
TXN,-0.6679657697677612,0.0019168878206983209,1,P1
TXN,-0.6679657697677612,0.0033576269634068012,1,P1
TXN,-0.6679657697677612,0.0038794230204075575,1,P1
TXN,-0.09283661842346191,0.005128607619553804,1,P1
TXN,-0.6679657697677612,0.00590120954439044,1,P1
TXN,-0.6679657697677612,0.0037987460382282734,1,P1
TXN,-0.6679657697677612,0.004945248831063509,1,P1
TXN,-0.6679657697677612,0.004042607266455889,1,P1
TXN,1.5390570163726807,-0.005468639079481363,1,P1
TXN,1.5730546712875366,-0.004936062265187502,1,P1
TXN,1.3917332887649536,-0.006789177190512419,1,P1
TXN,1.8195385932922363,-0.012186910025775433,1,P1
TXN,-0.6679657697677612,0.0070438506081700325,1,P1
TXN,-0.6679657697677612,0.0039626434445381165,1,P1
TXN,1.3662348985671997,-0.009154930710792542,1,P1
TXN,-0.6679657697677612,0.004668591544032097,1,P1
TXN,1.414398431777954,-0.007368361111730337,1,P1
TXN,-0.6679657697677612,0.010505509562790394,1,P1
TXN,-0.6679657697677612,0.004537404514849186,1,P1
TXN,-0.6679657697677612,0.0018416487146168947,1,P1
TXN,-0.6679657697677612,0.004016373306512833,1,P1
TXN,1.5617221593856812,-0.01365564577281475,1,P1
TXN,-0.6679657697677612,0.006296243984252214,1,P1
TXN,-0.6679657697677612,0.004074236378073692,1,P1
TXN,-0.6679657697677612,0.0036776557099074125,1,P1
TXN,-0.6679657697677612,0.00526087312027812,1,P1
TXN,-0.6679657697677612,0.0028972646687179804,1,P1
TXN,-0.6679657697677612,0.004559313878417015,1,P1
TXN,-0.6679657697677612,0.009245556779205799,1,P1
TXN,-0.6679657697677612,0.002404851606115699,1,P1
TXN,-0.6679657697677612,0.004219961352646351,1,P1
TXN,1.4540624618530273,-0.004919116850942373,1,P1
TXN,-0.6679657697677612,0.005865253508090973,1,P1
TXN,-0.6679657697677612,0.005212550051510334,1,P1
TXN,0.6976118683815002,-0.007323161698877811,1,P1
TXN,-0.6679657697677612,0.003010172862559557,1,P1
TXN,-0.6679657697677612,0.00481267599388957,1,P1
TXN,1.414398431777954,-0.006358648184686899,1,P1
TXN,0.8109377026557922,-0.00946235191076994,1,P1
TXN,1.0999188423156738,-0.014417015947401524,1,P1
TXN,-0.6679657697677612,0.002555444138124585,1,P1
TXN,1.2075785398483276,-0.018570108339190483,1,P1
TXN,-0.6679657697677612,0.0033486168831586838,1,P1
TXN,-0.6679657697677612,0.005799520295113325,1,P1
TXN,-0.6679657697677612,0.0020977435633540154,1,P1
TXN,-0.6679657697677612,0.006120514124631882,1,P1
TXN,-0.6679657697677612,0.005387682467699051,1,P1
TXN,1.5078922510147095,-0.011685462668538094,1,P1
TXN,1.485227108001709,-0.007386642042547464,1,P1
TXN,-0.6679657697677612,0.0020535567309707403,1,P1
TXN,0.8817663788795471,-0.012148617766797543,1,P1
TXN,-0.6679657697677612,0.0032232135999947786,1,P1
TXN,0.8336029648780823,-0.010908897034823895,1,P1
TXN,-0.6679657697677612,0.002875802107155323,1,P1
TXN,-0.6679657697677612,0.006651156581938267,1,P1
TXN,-0.6679657697677612,0.008067331276834011,1,P1
TXN,-0.6679657697677612,0.007219236809760332,1,P1
TXN,-0.6679657697677612,0.002214021747931838,1,P1
TXN,-0.6679657697677612,0.007527271751314402,1,P1
TXN,-0.6679657697677612,0.004070430528372526,1,P1
TXN,-0.6679657697677612,0.0019506606040522456,1,P1
TXN,1.2897398471832275,-0.015551143325865269,1,P1
TXN,1.2982393503189087,-0.010443257167935371,1,P1
TXN,-0.6679657697677612,0.002146283397451043,1,P1
TXN,-0.6679657697677612,0.0033236676827073097,1,P1
TXN,-0.6679657697677612,0.003779215505346656,1,P1
TXN,0.2613069713115692,-0.009562959894537926,1,P1
TXN,-0.6679657697677612,0.005337193608283997,1,P1
TXN,-0.6679657697677612,0.004414611961692572,1,P1
TXN,1.278407335281372,-0.006798882968723774,1,P1
TXN,-0.6679657697677612,0.003068782389163971,1,P1
TXN,-0.6679657697677612,0.0036675569135695696,1,P1
TXN,1.0092581510543823,-0.009337670169770718,1,P1
TXN,0.5729532837867737,-0.010599962435662746,1,P1
TXN,-0.6679657697677612,0.00984848290681839,1,P1
TXN,-0.6679657697677612,0.005170359276235104,1,P1
TXN,-0.6679657697677612,0.004108150489628315,1,P1
TXN,-0.6679657697677612,0.0025406074710190296,1,P1
TXN,-0.6679657697677612,0.0056625367142260075,1,P1
TXN,-0.6679657697677612,0.0072206659242510796,1,P1
TXN,-0.6679657697677612,0.007905554957687855,1,P1
TXN,1.5588890314102173,-0.010455803945660591,1,P1
TXN,-0.6679657697677612,0.005600732751190662,1,P1
TXN,1.3322371244430542,-0.01888185366988182,1,P1
TXN,-0.6679657697677612,0.002013111487030983,1,P1
TXN,1.5135586261749268,-0.014597133733332157,1,P1
TXN,-0.6679657697677612,0.0021545449271798134,1,P1
TXN,1.760042428970337,-0.00667527224868536,1,P1
TXN,1.4228979349136353,-0.010359377600252628,1,P1
TXN,1.292573094367981,-0.006915675010532141,1,P1
TXN,-0.6679657697677612,0.0034260516986250877,1,P1
TXN,-0.6679657697677612,0.003046422265470028,1,P1
TXN,-0.6679657697677612,0.0026004111859947443,1,P1
TXN,-0.6679657697677612,0.003942173905670643,1,P1
TXN,1.4257310628890991,-0.01174000184983015,1,P1
TXN,-0.6679657697677612,0.0033489232882857323,1,P1
TXN,-0.6679657697677612,0.005790808703750372,1,P1
TXN,1.8110392093658447,-0.00938876997679472,1,P1
TXN,-0.6679657697677612,0.00566839100793004,1,P1
TXN,-0.6679657697677612,0.008820329792797565,1,P1
TXN,-0.6679657697677612,0.003996355924755335,1,P1
TXN,1.4427298307418823,-0.014302417635917664,1,P1
TXN,-0.6679657697677612,0.006160690449178219,1,P1
TXN,-0.6679657697677612,0.00490584084764123,1,P1
TXN,-0.6679657697677612,0.0049669439904391766,1,P1
TXN,-0.6679657697677612,0.004002450965344906,1,P1
TXN,-0.6679657697677612,0.005471684969961643,1,P1
TXN,1.24724280834198,-0.004180221818387508,1,P1
TXN,-0.6679657697677612,0.0021598150487989187,1,P1
TXN,-0.6679657697677612,0.003578834468498826,1,P1
TXN,-0.6679657697677612,0.00438406178727746,1,P1
TXN,1.7090460062026978,-0.011275812052190304,1,P1
TXN,1.1622482538223267,-0.018138233572244644,1,P1
TXN,-0.6679657697677612,0.0018535684794187546,1,P1
TXN,-0.6679657697677612,0.0028030567336827517,1,P1
TXN,1.896033763885498,-0.00708912406116724,1,P1
TXN,1.1480824947357178,-0.009405093267560005,1,P1
TXN,-0.6679657697677612,0.0057996539399027824,1,P1
TXN,-0.6679657697677612,0.0043666004203259945,1,P1
TXN,-0.6679657697677612,0.003962176386266947,1,P1
TXN,-0.6679657697677612,0.004675047006458044,1,P1
TXN,-0.6679657697677612,0.0069270627573132515,1,P1
TXN,1.6637153625488281,-0.010621423833072186,1,P1
TXN,-0.6679657697677612,0.006483952980488539,1,P1
TXN,0.1394815444946289,-0.005011140834540129,1,P1
TXN,-0.6679657697677612,0.006963737774640322,1,P1
TXN,-0.6679657697677612,0.004576282110065222,1,P1
TXN,-0.6679657697677612,0.006511695683002472,1,P1
