feature,overall_mean_importance,overall_std_importance,conditional_mean_importance,n_folds_selected,selection_frequency,overall_sem_importance,feature_type,cv_importance_all_folds
PROGENy_JAK-STAT,0.343807161025475,0.14310944188463565,0.343807161025475,32,1.0,0.025298414202112,Pathway,0.4162491597260003
PROGENy_EGFR,0.20043318533970927,0.04025776991323415,0.20043318533970927,32,1.0,0.007116635525273908,Pathway,0.2008538149259178
PROGENy_TNFa,0.18532734333091852,0.06766440000650362,0.18532734333091852,32,1.0,0.011961489022379444,Pathway,0.36510748381949654
PROGENy_NFkB,0.1828718883435237,0.08129834323598382,0.1828718883435237,32,1.0,0.014371652450348911,Pathway,0.44456446516954756
PROGENy_MAPK,0.16441230698822237,0.037201624832633895,0.16441230698822237,32,1.0,0.006576380297578322,Pathway,0.2262703170712082
PROGENy_p53,0.1505071726963813,0.051397346263613565,0.1505071726963813,32,1.0,0.009085853019498553,Pathway,0.34149433108611793
PROGENy_PI3K,0.1426709824831044,0.03810134109236539,0.1426709824831044,32,1.0,0.006735429164678306,Pathway,0.2670573961798958
PROGENy_Estrogen,0.09312856462169733,0.024246846021931293,0.09312856462169733,32,1.0,0.00428627731112342,Pathway,0.2603588503744876
PROGENy_TGFb,0.08628474304203301,0.024584281438922127,0.08628474304203301,32,1.0,0.004345928029015103,Pathway,0.2849203760964562
PROGENy_WNT,0.08247821910280927,0.013075909602687457,0.08247821910280927,32,1.0,0.002311516087560649,Pathway,0.15853772965670257
PROGENy_Androgen,0.0823986434390109,0.018717436212315548,0.0823986434390109,32,1.0,0.0033088065180387426,Pathway,0.2271570918053967
PROGENy_Hypoxia,0.07396090152306148,0.023243526865922327,0.07396090152306148,32,1.0,0.004108913866396344,Pathway,0.31426776022564906
PROGENy_Trail,0.06598149944551074,0.020363818403376536,0.06598149944551074,32,1.0,0.00359984852096974,Pathway,0.30862921537867616
PROGENy_VEGF,0.054616758574547494,0.016017965216136826,0.054616758574547494,32,1.0,0.0028316029562851478,Pathway,0.2932793090288137
