fold,held_patient,feature,importance,method
1,P1,PROGENy_Androgen,0.07863791566670277,shap_linear_training_background
1,P1,PROGENy_EGFR,0.27256976911133735,shap_linear_training_background
1,P1,PROGENy_Estrogen,0.05515667153803323,shap_linear_training_background
1,P1,PROGENy_Hypoxia,0.053048282917904095,shap_linear_training_background
1,P1,PROGENy_JAK-STAT,0.26792855492170464,shap_linear_training_background
1,P1,PROGENy_MAPK,0.15730131144857099,shap_linear_training_background
1,P1,PROGENy_NFkB,0.23901705319066327,shap_linear_training_background
1,P1,PROGENy_PI3K,0.2534221548055239,shap_linear_training_background
1,P1,PROGENy_TGFb,0.04293696335544322,shap_linear_training_background
1,P1,PROGENy_TNFa,0.2251886135756449,shap_linear_training_background
1,P1,PROGENy_Trail,0.08069615412449052,shap_linear_training_background
1,P1,PROGENy_VEGF,0.06444047157840486,shap_linear_training_background
1,P1,PROGENy_WNT,0.09179249330637487,shap_linear_training_background
1,P1,PROGENy_p53,0.16435060135804752,shap_linear_training_background
2,P10,PROGENy_Androgen,0.08792847410264062,shap_linear_training_background
2,P10,PROGENy_EGFR,0.1670771005647087,shap_linear_training_background
2,P10,PROGENy_Estrogen,0.10672597796607694,shap_linear_training_background
2,P10,PROGENy_Hypoxia,0.06952067043491758,shap_linear_training_background
2,P10,PROGENy_JAK-STAT,0.7845070360251507,shap_linear_training_background
2,P10,PROGENy_MAPK,0.19281887751048535,shap_linear_training_background
2,P10,PROGENy_NFkB,0.2332724933018193,shap_linear_training_background
2,P10,PROGENy_PI3K,0.14849334919866639,shap_linear_training_background
2,P10,PROGENy_TGFb,0.08210267601269802,shap_linear_training_background
2,P10,PROGENy_TNFa,0.21901884633670696,shap_linear_training_background
2,P10,PROGENy_Trail,0.059106324899573744,shap_linear_training_background
2,P10,PROGENy_VEGF,0.06036490670630356,shap_linear_training_background
2,P10,PROGENy_WNT,0.09282741445043285,shap_linear_training_background
2,P10,PROGENy_p53,0.15817194283992925,shap_linear_training_background
3,P11,PROGENy_Androgen,0.08351306104716306,shap_linear_training_background
3,P11,PROGENy_EGFR,0.21244435701361175,shap_linear_training_background
3,P11,PROGENy_Estrogen,0.09866510379288992,shap_linear_training_background
3,P11,PROGENy_Hypoxia,0.07413058009749372,shap_linear_training_background
3,P11,PROGENy_JAK-STAT,0.26175470786934046,shap_linear_training_background
3,P11,PROGENy_MAPK,0.1546768926792522,shap_linear_training_background
3,P11,PROGENy_NFkB,0.22413150044015984,shap_linear_training_background
3,P11,PROGENy_PI3K,0.14321480956988536,shap_linear_training_background
3,P11,PROGENy_TGFb,0.08051615064214865,shap_linear_training_background
3,P11,PROGENy_TNFa,0.23662310011473692,shap_linear_training_background
3,P11,PROGENy_Trail,0.06432618006346956,shap_linear_training_background
3,P11,PROGENy_VEGF,0.05282101988721167,shap_linear_training_background
3,P11,PROGENy_WNT,0.10013737421214679,shap_linear_training_background
3,P11,PROGENy_p53,0.1326486780873604,shap_linear_training_background
4,P12,PROGENy_Androgen,0.05797926442926992,shap_linear_training_background
4,P12,PROGENy_EGFR,0.17386449708805515,shap_linear_training_background
4,P12,PROGENy_Estrogen,0.07909516124486374,shap_linear_training_background
4,P12,PROGENy_Hypoxia,0.0679965188831829,shap_linear_training_background
4,P12,PROGENy_JAK-STAT,0.31444758555134994,shap_linear_training_background
4,P12,PROGENy_MAPK,0.12553262538734494,shap_linear_training_background
4,P12,PROGENy_NFkB,0.08529255507347723,shap_linear_training_background
4,P12,PROGENy_PI3K,0.11591058281313626,shap_linear_training_background
4,P12,PROGENy_TGFb,0.060828083957957316,shap_linear_training_background
4,P12,PROGENy_TNFa,0.10783686746383388,shap_linear_training_background
4,P12,PROGENy_Trail,0.053356855410827686,shap_linear_training_background
4,P12,PROGENy_VEGF,0.035060550105844,shap_linear_training_background
4,P12,PROGENy_WNT,0.06318586353119025,shap_linear_training_background
4,P12,PROGENy_p53,0.09762685969120216,shap_linear_training_background
5,P13,PROGENy_Androgen,0.06370470362671336,shap_linear_training_background
5,P13,PROGENy_EGFR,0.16253343104900939,shap_linear_training_background
5,P13,PROGENy_Estrogen,0.06791241075117953,shap_linear_training_background
5,P13,PROGENy_Hypoxia,0.05711793911953596,shap_linear_training_background
5,P13,PROGENy_JAK-STAT,0.3520355669972813,shap_linear_training_background
5,P13,PROGENy_MAPK,0.12000580389662882,shap_linear_training_background
5,P13,PROGENy_NFkB,0.09031703555674651,shap_linear_training_background
5,P13,PROGENy_PI3K,0.11938497137867862,shap_linear_training_background
5,P13,PROGENy_TGFb,0.060899774961253525,shap_linear_training_background
5,P13,PROGENy_TNFa,0.11058574795556318,shap_linear_training_background
5,P13,PROGENy_Trail,0.08657845927419364,shap_linear_training_background
