feature,overall_mean_importance,overall_std_importance,conditional_mean_importance,n_folds_selected,selection_frequency,overall_sem_importance,cv_importance_all_folds,feature_type
PROGENy_JAK-STAT,0.34236057246982454,0.14449703693304886,0.34236057246982454,32,1.0,0.025543708669180463,0.42206097475136317,Pathway
PROGENy_EGFR,0.19970100498765442,0.03986957300648065,0.19970100498765442,32,1.0,0.0070480113589736475,0.19964633131889045,Pathway
PROGENy_TNFa,0.18486361635145357,0.06729632381526579,0.18486361635145357,32,1.0,0.011896421729675049,0.36403228035594276,Pathway
PROGENy_NFkB,0.18336366084055375,0.08101245562559085,0.18336366084055375,32,1.0,0.01432111418335739,0.4418130356594281,Pathway
PROGENy_MAPK,0.163265340019351,0.035810577178463504,0.163265340019351,32,1.0,0.006330475490273941,0.21933973967909576,Pathway
PROGENy_p53,0.1500277492347888,0.051624394420587805,0.1500277492347888,32,1.0,0.00912598984236165,0.3440989729159852,Pathway
PROGENy_PI3K,0.14219651141829157,0.036849614461649756,0.14219651141829157,32,1.0,0.006514153067485602,0.259145699807299,Pathway
PROGENy_Estrogen,0.0927446563156117,0.023378702051485165,0.0927446563156117,32,1.0,0.004132809688986252,0.25207600071239716,Pathway
PROGENy_TGFb,0.08526262370492649,0.02395254871624851,0.08526262370492649,32,1.0,0.004234252405990113,0.28092671413845466,Pathway
PROGENy_Androgen,0.0821427788161716,0.018582868703098953,0.0821427788161716,32,1.0,0.0032850181184651333,0.22622644340637413,Pathway
PROGENy_WNT,0.08205788583479189,0.012811482551396126,0.08205788583479189,32,1.0,0.0022647715472863326,0.1561273778999088,Pathway
PROGENy_Hypoxia,0.07290108234562634,0.022857590543221843,0.07290108234562634,32,1.0,0.004040689318674416,0.313542540217075,Pathway
PROGENy_Trail,0.0657884812876044,0.02047059164036738,0.0657884812876044,32,1.0,0.0036187235409511063,0.31115768656943243,Pathway
PROGENy_VEGF,0.05450744327331765,0.015910585064846126,0.05450744327331765,32,1.0,0.002812620647999525,0.29189747508547403,Pathway
