feature,feature_value_scaled,shap_value,fold,held_patient
PROGENy_TGFb,0.070544997843673,0.004984538296832394,1,P1
PROGENy_TGFb,3.008243326259091,0.12641103318867775,1,P1
PROGENy_TGFb,3.0293367214396603,0.12728290523128008,1,P1
PROGENy_TGFb,-0.5483093175886281,-0.020595116919899754,1,P1
PROGENy_TGFb,0.7661136139200916,0.03373509385591486,1,P1
PROGENy_TGFb,1.261224302565533,0.054199943811469,1,P1
PROGENy_TGFb,1.707447669724742,0.0726440906759995,1,P1
PROGENy_TGFb,2.581409311974707,0.10876832367223636,1,P1
PROGENy_TGFb,-0.05056168321183195,-2.1271743739992492e-05,1,P1
PROGENy_TGFb,0.22910098092387432,0.011538273608362667,1,P1
PROGENy_TGFb,0.36105898681302334,0.016992611098720193,1,P1
PROGENy_TGFb,0.3783199328078699,0.017706073114339135,1,P1
PROGENy_TGFb,-0.7373142157653888,-0.028407424290266617,1,P1
PROGENy_TGFb,-0.4188614640110487,-0.015244533785083208,1,P1
PROGENy_TGFb,-1.6036404313296757,-0.06421605541190745,1,P1
PROGENy_TGFb,-0.313353173591176,-0.01088346588243492,1,P1
PROGENy_TGFb,-2.341046201789758,-0.09469590324171723,1,P1
PROGENy_TGFb,2.137713688009885,0.09042865826283426,1,P1
PROGENy_TGFb,0.6282334004833311,0.0280359684996377,1,P1
PROGENy_TGFb,3.2831764887386856,0.13777508984708714,1,P1
PROGENy_TGFb,0.3707757739658237,0.017394243694607285,1,P1
PROGENy_TGFb,1.1951387429386602,0.05146837066427467,1,P1
PROGENy_TGFb,-0.06049680357893919,-0.0004319289003436577,1,P1
PROGENy_TGFb,0.43958010883897236,0.020238194394445713,1,P1
PROGENy_TGFb,-0.7981804145900769,-0.030923260960486795,1,P1
PROGENy_TGFb,1.6187956098680616,0.06897975632647994,1,P1
PROGENy_TGFb,-1.0047404823982469,-0.039461191753434155,1,P1
PROGENy_TGFb,0.35315687577589777,0.016665986122900472,1,P1
PROGENy_TGFb,-0.3312336067867788,-0.01162253371288195,1,P1
PROGENy_TGFb,-0.592847752402105,-0.022436063614479713,1,P1
PROGENy_TGFb,-0.726416689529009,-0.027956987156856364,1,P1
PROGENy_TGFb,-1.27516320155019,-0.05063881425065435,1,P1
PROGENy_TGFb,1.8226628552310102,0.07740638229696595,1,P1
PROGENy_TGFb,1.9534736793930392,0.08281330230582759,1,P1
PROGENy_TGFb,0.8661338426948716,0.03786931883093231,1,P1
PROGENy_TGFb,-0.8770219978032743,-0.03418209016316609,1,P1
PROGENy_TGFb,0.6224340102195399,0.027796257149622434,1,P1
PROGENy_TGFb,2.9061685823511847,0.12219188711440898,1,P1
PROGENy_TGFb,-0.19665958373015924,-0.006060066060842989,1,P1
PROGENy_TGFb,1.4697496103170749,0.0628191056129365,1,P1
PROGENy_TGFb,-0.316318690823616,-0.011006042240801435,1,P1
